crop,variety,start_method,start_time,outside_time,spacing_inches,notes
Bean (Pole),Cherokee Trail of Tears,Direct sow,,Late May,6-10,Needs trellis
Flower,Purple Coneflower,Indoors or Direct,8-10 weeks before frost,Late May,18-24,Perennial
Flower,Borage,Direct sow,,Late May,12,Self-seeds
Bean (Bush),Blue Lake 47,Direct sow,,Late May,6-8,
Herb,Lemon Balm,Indoors,6-8 weeks before frost,Late May,12,Spreads
Tomato,Roma Sauce,Indoors,6-8 weeks before frost,Late May,24-36,Determinate
Corn,Atomic Orange,Direct sow,,Late May,10-12,Plant in blocks
Squash,Butternut Waltham,Indoors,3-4 weeks before frost,Late May,36-48,Heavy feeder
Tomato,Rainbow’s End,Indoors,6-8 weeks before frost,Late May,24-36,
Cucumber,Muncher,Indoors or Direct,3-4 weeks before frost,Late May,18-36,
Pumpkin,Wyatt’s Wonder,Indoors,3-4 weeks before frost,Late May,72,3 per hill
Cucumber,Beit Alpha,Indoors or Direct,3-4 weeks before frost,Late May,18-36,
Brussels Sprouts,Hestia,Indoors,6-8 weeks before frost,Mid May,18,Cold tolerant
Corn,Painted Mountain,Direct sow,,Late May,10-12,Cold tolerant
Flower,Pepperbox Poppy,Direct sow,,Early May,8-10,Does not transplant well
Squash,Honey Boat,Indoors,3-4 weeks before frost,Late May,36,
Squash,Zucchini Fordhook,Indoors,3-4 weeks before frost,Late May,36,
Herb,Genovese Basil,Indoors,4-6 weeks before frost,Late May,8-12,Pinch tops
Herb,Slo-Bolt Cilantro,Direct sow,,Early May,6-8,Bolts in heat
Squash,Buttercup,Indoors,3-4 weeks before frost,Late May,36-48,
Herb,Catnip,Indoors,6-8 weeks before frost,Late May,18,Perennial
Herb,Anise Hyssop,Indoors,6-8 weeks before frost,Late May,12-18,Perennial
Herb,St. John’s Wort,Indoors,6-8 weeks before frost,Late May,12,Perennial
Radish,Early Scarlet Globe,Direct sow,,Late April,2,Fast crop
Herb,Lovage,Indoors,8-10 weeks before frost,Late May,24,Large plant
Herb,Marshmallow,Indoors,6-8 weeks before frost,Late May,18-24,Perennial
Soybean,Tankuro,Direct sow,,Late May,6,
Radish,Saxa 2,Direct sow,,Late April,2,
Radish,Pink Beauty,Direct sow,,Late April,2-3,
Squash,Yellow Crookneck,Indoors,3-4 weeks before frost,Late May,72,3 per hill
Bean (Bush),Jade,Direct sow,,Late May,6,
Melon,Orange Tendersweet,Indoors,3-4 weeks before frost,Late May,72,3 per hill
Pepper,Dalti,Indoors,8-10 weeks before frost,Late May,14-18,Heat loving
Tomato,Amish Paste,Indoors,6-8 weeks before frost,Late May,24-36,
Tomato,Sweetie,Indoors,6-8 weeks before frost,Late May,36,Cherry
Tomato,San Marzano Paste,Indoors,6-8 weeks before frost,Late May,24-36,
Tomato,Abe Lincoln,Indoors,6-8 weeks before frost,Late May,24-36,
Tomato,Brandywine,Indoors,6-8 weeks before frost,Late May,30-36,Indeterminate
Tomato,Mortgage Lifter,Indoors,6-8 weeks before frost,Late May,30-36,Indeterminate
Tomato,Hungarian Heart,Indoors,6-8 weeks before frost,Late May,30-36,
Tomatillo,Verde,Indoors,6-8 weeks before frost,Late May,36-48,Needs 2 plants
Flower,Calendula (All),Direct sow,,Early May,10-12,Cold tolerant
Pea,Cascadia Sugar Snap,Direct sow,,Mid April,2-3,Climbing
Celery,D’Elne,Indoors,10-12 weeks before frost,Late May,12,Slow grower
Cabbage,Golden Acre,Indoors,6-8 weeks before frost,Mid May,12-18,Compact
Cabbage,Brunswick,Indoors,6-8 weeks before frost,Mid May,18-24,
Basil,Lemon Basil,Indoors,4-6 weeks before frost,Late May,8-12,
Pea,Lincoln / Little Marvel / Lillian,Direct sow,,Mid April,2-3,
Radish,Malaga,Direct sow,,Late April,2,
Squash,Red Kuri,Indoors,3-4 weeks before frost,Late May,36-48,
Sunflower,Mammoth,Direct sow,,Late May,24-36,Tall
Flower,Baby’s Breath,Direct sow,,Early May,8-10,
Flower,Nasturtium,Direct sow,,Late May,10-12,Edible flowers
Flower,Dahlia Mignon Mix,Indoors,6-8 weeks before frost,After frost,12-18,Tuberous
Coneflower,Green Twister / Narrow-leaved,Indoors,8-10 weeks before frost,Late May,18-24,Perennial
Sunflower,Arikara / Lemon Queen / Hopi Black Dye,Direct sow,,Late May,18-24,
Flower,Chamomile (All),Direct sow,,Early May,8,Self-seeds
Carrot,All Varieties,Direct sow,,Late April,2-3,Loose soil
Melon,Beni Kodima,Indoors,3-4 weeks before frost,Late May,36,
Beet,All Varieties,Direct sow,,Early May,4-6,Thin seedlings
Flower,Butterfly Pea,Direct sow,,Late May,6,Climbing
Flower,Feverfew,Indoors,6-8 weeks before frost,Late May,6-8,Perennial
Herb,Holy Basil / Thai Basil,Indoors,4-6 weeks before frost,Late May,8-12,
Herb,Hyssop,Indoors,6-8 weeks before frost,Late May,10,Perennial
Herb,Astragalus (Huang-Qi),Direct sow,,Late May,8-10,Medicinal
Cucumber,Lemon,Indoors,3-4 weeks before frost,Late May,36-48,
Melon,Blacktail Mountain,Indoors,3-4 weeks before frost,Late May,36,Cold tolerant
Squash,New England Sugar Pie,Indoors,3-4 weeks before frost,Late May,36-48,
Pepper,All Varieties,Indoors,8-10 weeks before frost,Late May,18,
Brassica,Cauliflower / Broccoli,Indoors,6-8 weeks before frost,Mid May,18-24,
Herb,Burdock Takinogawa,Direct sow,,Early May,12,Large root
Herb,Sage / Yarrow / Lavender / Comfrey / Self-heal / Elecampane / Valerian,Indoors,6-10 weeks before frost,Late May,12-36,Many are perennial
Lettuce,All Varieties,Direct sow,,Late April,6-12,Succession plant
Spinach,Butterfly,Direct sow,,Late April,3-4,Cold hardy
